"B25010_001E","B25010_001M","B25010_002E","B25010_002M","B25010_003E","B25010_003M","GEO_ID","NAME"
"Estimate!!Average household size --!!Total:","Margin of Error!!Average household size --!!Total:","Estimate!!Average household size --!!Total:!!Owner occupied","Margin of Error!!Average household size --!!Total:!!Owner occupied","Estimate!!Average household size --!!Total:!!Renter occupied","Margin of Error!!Average household size --!!Total:!!Renter occupied","id","Geographic Area Name"
"4.20","0.31","3.57","0.55","4.53","0.40","1400000US06037117201","Census Tract 1172.01, Los Angeles County, California"
"2.99","0.36","3.49","0.32","1.72","0.71","1400000US06037117202","Census Tract 1172.02, Los Angeles County, California"
"3.31","0.21","3.21","0.28","3.65","0.64","1400000US06037117301","Census Tract 1173.01, Los Angeles County, California"
"3.05","0.22","3.16","0.27","2.64","0.74","1400000US06037117302","Census Tract 1173.02, Los Angeles County, California"
"3.64","0.48","3.67","0.55","3.51","0.78","1400000US06037117303","Census Tract 1173.03, Los Angeles County, California"
"3.99","0.53","3.65","0.46","5.00","1.20","1400000US06037117404","Census Tract 1174.04, Los Angeles County, California"
"3.91","0.30","2.77","0.75","4.00","0.31","1400000US06037117405","Census Tract 1174.05, Los Angeles County, California"
"3.74","0.33","2.00","0.81","3.75","0.33","1400000US06037117407","Census Tract 1174.07, Los Angeles County, California"
"3.81","0.41","4.38","1.81","3.74","0.44","1400000US06037117408","Census Tract 1174.08, Los Angeles County, California"
"3.69","0.37","3.42","0.80","3.73","0.41","1400000US06037117510","Census Tract 1175.10, Los Angeles County, California"
"3.84","0.34","4.41","0.83","3.74","0.36","1400000US06037117520","Census Tract 1175.20, Los Angeles County, California"
"3.70","0.24","4.14","0.49","3.60","0.32","1400000US06037117530","Census Tract 1175.30, Los Angeles County, California"
"4.45","0.33","4.39","0.33","4.69","0.87","1400000US06037119001","Census Tract 1190.01, Los Angeles County, California"
"5.03","0.56","5.23","0.66","4.34","1.21","1400000US06037119003","Census Tract 1190.03, Los Angeles County, California"
"4.33","0.81","5.22","1.05","2.78","0.83","1400000US06037119004","Census Tract 1190.04, Los Angeles County, California"
"5.13","0.61","5.14","0.82","5.06","1.60","1400000US06037119201","Census Tract 1192.01, Los Angeles County, California"
"4.28","0.45","4.46","0.62","3.69","0.59","1400000US06037119202","Census Tract 1192.02, Los Angeles County, California"
"3.25","0.26","3.44","0.38","3.02","0.42","1400000US06037119310","Census Tract 1193.10, Los Angeles County, California"
"3.78","0.51","4.67","1.06","3.41","0.53","1400000US06037119320","Census Tract 1193.20, Los Angeles County, California"
"3.84","0.24","2.78","0.49","3.85","0.25","1400000US06037119340","Census Tract 1193.40, Los Angeles County, California"
"3.30","0.29","3.71","0.42","3.09","0.36","1400000US06037119341","Census Tract 1193.41, Los Angeles County, California"
"3.83","0.36","3.60","0.47","4.06","0.54","1400000US06037119342","Census Tract 1193.42, Los Angeles County, California"
"4.74","0.39","4.70","0.41","4.92","1.43","1400000US06037119400","Census Tract 1194, Los Angeles County, California"
"3.68","0.34","3.85","0.36","2.77","0.75","1400000US06037119700","Census Tract 1197, Los Angeles County, California"
"4.17","0.49","4.14","0.51","4.94","1.06","1400000US06037119801","Census Tract 1198.01, Los Angeles County, California"
"4.06","0.43","4.37","0.59","3.40","0.74","1400000US06037119802","Census Tract 1198.02, Los Angeles County, California"
"3.92","0.40","3.91","0.44","3.97","1.54","1400000US06037119900","Census Tract 1199, Los Angeles County, California"
"3.60","0.46","3.94","0.53","3.31","0.65","1400000US06037120010","Census Tract 1200.10, Los Angeles County, California"
"3.16","0.45","4.39","1.59","3.00","0.44","1400000US06037120020","Census Tract 1200.20, Los Angeles County, California"
"3.55","0.35","5.27","1.73","3.42","0.37","1400000US06037120030","Census Tract 1200.30, Los Angeles County, California"
"3.92","0.32","4.12","1.14","3.90","0.31","1400000US06037120103","Census Tract 1201.03, Los Angeles County, California"
"2.90","0.36","4.11","1.10","2.76","0.40","1400000US06037120104","Census Tract 1201.04, Los Angeles County, California"
